drzava,valuta,okrajsava,sifra,tecaj
Združene države,AMERIŠKI DOLAR,USD,840,1.1726
Japonska,JAPONSKI JEN,JPY,392,124.51
Bolgarija,BOLGARSKI LEV,BGN,975,1.9558
Češka republika,ČEŠKA KRONA,CZK,203,26.319
Danska,DANSKA KRONA,DKK,208,7.4466
Združeno kraljestvo,BRITANSKI FUNT,GBP,826,0.90013
Madžarska,MADŽARSKI FORINT,HUF,348,345.72
Poljska,POLJSKI ZLOT,PLN,985,4.4201
Romunija,ROMUNSKI LEV,RON,946,4.8355
Švedska,ŠVEDSKA KRONA,SEK,752,10.2958
Islandija,ISLANDSKA KRONA,ISK,352,160.0
Švica,ŠVICARSKI FRANK,CHF,756,1.0784
Norveška,NORVEŠKA KRONA,NOK,578,10.7188
Hrvaška,HRVAŠKA KUNA,HRK,191,7.4755
Ruska federacija,RUSKI RUBELJ,RUB,643,86.6018
Turčija,TURŠKA LIRA,TRY,949,8.1864
Avstralija,AVSTRALSKI DOLAR,AUD,36,1.6508
Brazilija,BRAZILSKI REAL,BRL,986,6.1375
Kanada,KANADSKI DOLAR,CAD,124,1.5755
Kitajska,KITAJSKI JUAN RENMINBI,CNY,156,8.19
Hongkong,HONGKONŠKI DOLAR,HKD,344,9.0882
Indonezija,INDONEZIJSKA RUPIJA,IDR,360,17254.0
Izrael,NOVI IZRAELSKI ŠEKEL,ILS,376,4.0056
Indija,INDIJSKA RUPIJA,INR,356,88.1805
"Koreja, Republika",JUŽNOKOREJSKI WON,KRW,410,1401.26
Mehika,MEHIŠKI PESO,MXN,484,26.269
Malezija,MALEZIJSKI RINGGIT,MYR,458,4.9501
Nova Zelandija,NOVOZELANDSKI DOLAR,NZD,554,1.7701
Filipini,FILIPINSKI PESO,PHP,608,57.579
Singapur,SINGAPURSKI DOLAR,SGD,702,1.6147
Tajska,TAJSKI BAHT,THB,764,36.644
Južna Afrika,JUŽNOAFRIŠKI RAND,ZAR,710,20.2777
Evropska unija,EVRO,EUR,?,1.0
